�3 04060952.csv,,Lenta-847,1614545971,120
Name,10CT G PBP -1/+1:   --- EKC состояние,10CT G PBP -1/+1:   u09 S5 Темп,11CT G OVZ +5/+8:   u69 Sair Темп,11CT G OVZ +5/+8:   u09 S5 Темп,11CT G OVZ +5/+8:   --- EKC состояние,12CT G GSR +2/+4:   u09 S5 Темп,12CT G GSR +2/+4:   u69 Sair Темп,12CT G GSR +2/+4:   --- EKC состояние,13CT G PBP -1/+1:   u69 Sair Темп,13CT G PBP -1/+1:   --- EKC состояние,13CT G PBP -1/+1:   u09 S5 Темп,14HT SH IKRA -4/-8:   u09 S5 Темп,14HT SH IKRA -4/-8:   --- EKC состояние,14HT SH IKRA -4/-8:   u17 Термостат,15CT G MSO -1/+1:   u09 S5 Темп,15CT G MSO -1/+1:   --- EKC состояние,15CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u69 Sair Темп,16CT G MSO -1/+1:   u09 S5 Темп,16CT G MSO -1/+1:   --- EKC состояние,17CT G GSR +2/+4:   u09 S5 Темп,17CT G GSR +2/+4:   --- EKC состояние,17CT G GSR +2/+4:   u69 Sair Темп,18CT G PTO -1/+1:   u69 Sair Темп,18CT G PTO -1/+1:   u09 S5 Темп,18CT G PTO -1/+1:   --- EKC состояние,19CT G GSR +2/+4:   --- EKC состояние,19CT G GSR +2/+4:   u09 S5 Темп,19CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   u09 S5 Темп,20CT G GSR +2/+4:   u69 Sair Темп,20CT G GSR +2/+4:   --- EKC состояние,21CT G GSR +2/+4:   u09 S5 Темп,21CT G GSR +2/+4:   u69 Sair Темп,21CT G GSR +2/+4:   --- EKC состояние,22CT G GSR +2/+4:   u09 S5 Темп,22CT G GSR +2/+4:   u69 Sair Темп,22CT G GSR +2/+4:   --- EKC состояние,23CT V MSO -1/+1:   --- EKC состояние,23CT V MSO -1/+1:   u69 Sair Темп,23CT V MSO -1/+1:   u09 S5 Темп,24CT V GSR +2/+4:   --- EKC состояние,24CT V GSR +2/+4:   u69 Sair Темп,24CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u09 S5 Темп,25CT V GSR +2/+4:   u69 Sair Темп,25CT V GSR +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u09 S5 Темп,26CT G MLK +2/+4:   --- EKC состояние,26CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   u69 Sair Темп,27CT G MLK +2/+4:   --- EKC состояние,27CT G MLK +2/+4:   u09 S5 Темп,28CT G MLK +2/+4:   --- EKC состояние,28CT G MLK +2/+4:   u69 Sair Темп,28CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u09 S5 Темп,29CT G MLK +2/+4:   u69 Sair Темп,29CT G MLK +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u09 S5 Темп,30CT G GSR +2/+4:   --- EKC состояние,30CT G GSR +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   u09 S5 Темп,34CT G TRT +2/+4:   u69 Sair Темп,34CT G TRT +2/+4:   --- EKC состояние,52CT K PTO -1/+1:   u09 S5 Темп,52CT K PTO -1/+1:   u17 Термостат,52CT K PTO -1/+1:   --- EKC состояние,53K VOP POD PTO:   u17 Термостат,53K VOP POD PTO:   u09 S5 Темп,53K VOP POD PTO:   --- EKC состояние,54K VOP FAS GSR:   --- EKC состояние,54K VOP FAS GSR:   u09 S5 Темп,54K VOP FAS GSR:   u17 Термостат,55CT K GSR +2/+4:   u17 Термостат,55CT K GSR +2/+4:   u09 S5 Темп,55CT K GSR +2/+4:   --- EKC состояние,56CT K COF +5/+8:   u17 Термостат,56CT K COF +5/+8:   u09 S5 Темп,56CT K COF +5/+8:   --- EKC состояние,Gazoanalyzator:   Gas Level %,Gazoanalyzator:   Gas Level Ppm,111CT AG:   Comp A Pressure,111CT AG:   Перегрев A,111CT AG:   Comp A Req Cap,111CT AG:   Comp 2A Status,111CT AG:   Comp 3A Status,111CT AG:   Comp 1A Status,111CT AG:   Comp A Reference,111CT AG:   Comp A Capacity,111CT AG:   Cond Requested Cap,111CT AG:   Cond Running Cap,111CT AG:   Cond Ctrl Pressure,111CT AG:   Sc3 Датч нар воздуха,111CT AG:   Cond Reference
 19:14:00  08/03/2021,11,2.72,3.89,-9.89,11,-10.39,1.00,11,10.50,0,3.89,-60.00,11,-6.61,5.00,11,8.11,-1.50,-9.89,11,-0.72,11,-0.22,-1.11,-1.39,11,14,3.11,3.89,4.22,4.72,14,3.22,6.11,0,6.50,9.11,0,0,-0.11,-5.78,11,-1.28,-7.11,3.61,3.72,11,-1.89,11,2.72,2.61,0,-0.22,11,1.72,0.72,0.28,2.11,11,-8.28,0,2.39,-0.89,1.28,11,2.50,1.39,11,8.78,4.78,11,11,17.89,18.00,1.28,-1.78,11,4.61,4.61,11,13.60,139,2.02,19.56,0,1,1,1,0.60,0,0,0,9.20,-2.22,14.77
 19:16:00  08/03/2021,0,4.61,4.28,-0.72,11,0.00,3.00,11,9.61,0,4.89,-60.00,0,-5.78,7.22,11,8.89,0.61,-1.50,11,-3.50,0,0.39,0.39,0.89,0,14,3.72,4.28,4.50,5.28,14,6.50,7.39,0,8.72,9.61,0,11,-2.89,-20.89,11,-0.11,-4.78,3.11,3.72,0,1.72,0,4.11,3.39,0,1.22,11,3.50,3.78,2.39,3.61,11,-0.28,0,3.11,1.00,2.22,11,2.50,1.89,11,9.28,7.00,11,11,18.22,18.00,1.72,0.78,11,4.61,5.00,11,13.60,139,0.92,27.28,33,1,1,3,0.60,34,0,0,8.16,-2.22,14.77
 19:18:00  08/03/2021,0,-15.39,4.89,3.78,11,2.11,4.28,0,9.28,0,6.50,-60.00,0,-3.78,1.11,0,7.89,2.39,0.72,0,-5.50,0,0.72,0.39,0.89,0,14,4.22,4.61,4.50,5.89,14,8.22,8.39,0,9.72,10.00,0,11,-3.22,-15.00,0,-0.11,-4.28,2.78,3.72,0,3.22,0,4.89,4.61,0,4.22,0,8.11,1.28,0.78,5.28,0,2.28,0,4.28,3.28,3.78,11,2.50,1.89,0,9.72,8.61,11,0,16.00,18.00,2.28,2.00,11,4.89,5.00,11,13.60,139,0.72,30.00,42,3,1,3,0.60,50,0,0,8.12,-2.22,14.77
 19:20:00  08/03/2021,11,-16.22,5.72,6.00,11,-7.22,2.39,0,7.89,0,-3.39,-60.00,11,-5.61,-8.00,11,5.50,-1.00,-7.22,11,-8.39,0,-0.28,-2.00,-7.00,0,14,4.72,4.89,4.89,6.28,14,0.89,7.00,0,1.50,9.28,0,11,-2.22,-8.78,0,-0.11,-4.28,-0.61,2.89,0,-4.11,0,4.50,4.61,0,-4.00,0,4.00,-6.00,-3.61,3.50,0,-3.78,0,4.28,-9.00,3.28,0,-2.72,1.22,0,10.11,9.72,11,0,5.39,17.22,2.72,2.61,11,5.11,5.39,11,13.60,139,2.44,14.11,100,3,3,3,0.60,100,3,0,14.90,-2.22,14.77
 19:22:00  08/03/2021,11,-0.50,6.50,7.00,11,-10.39,0.89,11,4.61,0,-14.61,-60.00,11,-6.89,-2.89,11,6.50,-1.50,-6.22,11,-11.00,11,-4.00,-3.22,-7.78,11,14,4.72,5.22,4.89,6.72,14,0.61,5.72,0,3.89,8.78,0,11,-1.11,-5.78,11,-4.72,-11.50,-9.72,-1.00,11,-8.89,11,0.78,2.78,0,-3.39,11,1.22,-3.22,-4.39,1.61,11,-3.50,0,3.50,-5.78,0.89,11,-6.50,0.00,0,10.61,10.39,11,11,0.78,15.72,3.00,3.00,11,5.11,5.39,11,13.60,139,0.51,33.00,71,3,3,3,0.60,81,0,0,12.00,-2.22,14.77
 19:24:00  08/03/2021,0,4.78,7.11,7.61,11,-0.72,2.50,11,2.39,0,-9.39,-60.00,0,-5.28,3.89,11,7.61,0.61,-0.39,11,-0.72,11,-0.50,-1.11,-1.00,11,14,5.22,5.61,4.89,7.00,14,5.72,6.89,0,7.72,9.11,0,11,-0.22,-3.89,11,-2.11,-7.61,-2.78,-0.28,11,-0.78,11,2.78,3.28,0,0.50,11,2.39,2.00,0.72,3.00,11,-0.28,0,3.89,-0.61,1.28,11,-3.39,-0.78,11,11.11,10.89,0,11,10.61,14.72,3.28,3.28,11,5.39,5.39,11,13.60,139,1.43,18.17,38,1,1,3,0.60,38,0,0,8.68,-2.22,14.77
 19:26:00  08/03/2021,0,-8.28,7.72,8.22,11,2.11,4.00,11,1.78,0,-2.00,-60.00,11,-4.61,6.39,11,8.50,2.22,1.00,0,-12.61,0,-0.22,0.39,0.78,0,14,5.22,5.89,4.89,7.00,14,8.11,8.00,0,9.22,9.61,0,0,0.22,-3.50,11,-0.39,-5.11,0.39,1.11,11,2.11,0,4.22,4.11,0,2.28,0,5.00,4.00,2.61,4.28,0,2.50,0,4.78,2.72,2.61,11,-1.22,-0.78,11,11.11,1.39,0,11,14.11,14.72,3.28,3.28,11,5.39,5.72,11,13.60,139,1.18,25.39,50,1,3,3,0.60,50,0,0,8.81,-2.61,14.77
 19:28:00  08/03/2021,0,-16.50,8.00,9.00,0,-0.61,3.61,0,2.28,0,0.72,-60.00,11,-6.00,7.78,0,9.11,-0.11,-1.28,11,-12.61,0,-0.22,-1.39,-1.39,0,14,5.22,6.28,5.22,7.50,14,9.11,9.00,0,9.89,10.00,0,0,0.61,-2.89,0,0.28,-4.11,2.28,2.39,11,3.50,0,5.50,5.78,0,4.00,0,9.00,1.22,2.28,7.50,0,3.39,0,6.00,2.72,4.61,0,-0.50,-0.39,11,9.89,-2.28,0,11,15.11,15.22,3.61,3.61,11,5.72,5.72,11,13.60,139,1.46,18.33,77,3,3,3,0.60,69,0,0,9.29,-2.61,14.77
 19:30:00  08/03/2021,11,-2.28,5.72,-6.39,11,-13.28,0.72,11,0.89,0,-9.50,-60.00,11,-6.39,-5.00,11,4.72,-1.61,-7.50,11,-9.78,11,-3.00,-3.50,-9.50,11,14,5.61,6.28,5.22,7.50,14,-2.00,6.22,0,2.72,9.11,0,0,0.11,-12.22,0,-1.39,-7.72,3.39,3.22,11,-9.11,0,2.61,3.72,0,-11.22,0,2.89,-10.11,-8.72,3.78,0,-10.11,0,4.72,-12.11,2.22,11,0.11,-0.11,11,9.39,-4.28,0,11,15.89,15.50,3.61,3.61,11,5.72,5.72,11,13.60,139,1.71,19.78,100,3,3,3,0.60,100,19,0,15.80,-2.61,14.77
 19:32:00  08/03/2021,11,2.50,4.00,-10.39,11,-3.22,1.28,11,-0.89,11,-16.72,-60.00,0,-3.72,-4.50,11,4.72,0.39,-0.61,11,-2.22,11,-1.50,-1.78,-2.28,11,14,5.61,6.72,5.50,7.78,14,3.00,6.22,0,6.11,9.11,0,11,-3.89,-26.11,11,-3.22,-10.11,4.00,4.00,11,-10.28,11,0.22,1.11,11,-7.89,11,1.00,-2.11,-5.50,0.39,11,-20.28,0,3.50,-3.39,0.72,11,0.72,-0.11,11,8.50,-4.28,11,11,16.39,15.89,3.89,3.89,11,5.72,6.00,11,13.60,139,1.27,22.06,0,1,1,1,0.60,0,0,0,8.37,-2.61,14.77
 19:34:00  08/03/2021,0,0.50,4.00,-1.72,11,0.50,3.00,11,-0.11,11,-2.28,-60.00,11,-4.89,2.50,11,6.61,2.22,0.89,0,-5.50,0,0.22,0.00,0.22,11,14,5.61,6.72,5.50,7.78,14,6.22,7.39,0,8.39,9.50,0,11,-3.89,-14.28,11,-1.22,-6.28,-0.28,3.00,0,-1.22,11,2.61,2.22,11,0.61,11,2.50,2.28,0.39,2.11,11,-3.28,0,3.50,-0.50,1.50,11,1.11,0.39,11,8.50,2.89,11,11,16.72,16.28,3.89,3.89,11,6.00,6.00,11,13.60,139,0.98,27.28,37,1,1,3,0.60,36,0,0,7.78,-2.61,14.77
 19:36:00  08/03/2021,0,-15.78,4.72,3.39,11,2.72,4.22,0,1.11,11,1.72,-60.00,11,-6.78,5.50,11,7.78,0.00,-2.61,11,-8.50,0,-1.39,0.00,0.22,0,14,5.61,7.11,5.89,8.11,14,8.11,8.28,0,9.50,9.89,0,11,-2.50,-9.00,11,0.00,-4.61,2.00,3.28,0,1.78,11,3.89,3.39,11,1.72,0,5.22,3.39,2.39,3.50,11,0.50,0,4.11,2.78,2.78,11,1.50,0.72,11,9.00,5.50,11,11,16.72,16.61,3.89,3.89,0,6.00,6.00,11,13.60,139,0.50,36.28,38,3,1,3,0.60,50,0,0,8.25,-3.22,14.77
 19:38:00  08/03/2021,11,-7.22,5.50,5.72,11,0.78,4.22,0,2.50,0,3.28,-60.00,0,-4.28,7.22,11,8.61,1.39,0.11,11,-14.78,0,-1.00,-1.78,-3.11,0,14,6.00,7.11,5.89,8.11,14,9.22,9.11,0,10.00,10.22,0,11,-1.28,-6.00,0,-0.39,-5.00,3.50,3.89,0,3.11,0,4.72,4.50,0,3.11,0,5.22,0.22,-0.28,5.61,0,1.72,0,4.89,-6.61,4.11,0,1.89,1.00,11,9.39,7.50,11,11,17.11,16.61,2.78,2.11,0,5.72,5.72,0,13.60,139,2.12,16.89,100,3,3,3,0.60,100,0,0,11.35,-3.22,14.77
 19:40:00  08/03/2021,11,0.00,6.28,6.89,11,-12.89,1.39,11,0.72,0,-10.28,-60.00,11,-4.28,8.50,0,9.11,0.72,-5.89,0,-11.11,11,-3.89,-3.39,-8.50,11,14,6.00,7.39,6.28,8.39,14,-2.61,5.72,0,2.00,9.00,0,11,-0.28,-4.00,11,-3.22,-9.00,-7.61,0.72,11,-10.22,11,1.22,2.61,0,-10.78,11,1.11,-8.39,-10.22,1.72,11,-9.00,0,3.72,-11.61,1.61,11,2.22,1.28,11,9.89,8.78,11,11,17.11,17.00,2.00,-2.39,0,4.22,0.00,0,13.60,139,1.53,22.78,100,3,3,3,0.60,100,36,0,15.97,-3.22,14.77
 19:42:00  08/03/2021,0,5.61,7.00,7.28,11,-3.39,1.39,11,-0.89,11,-12.72,-60.00,11,-7.11,-6.61,11,4.50,-1.89,-9.00,11,-1.00,11,-0.78,-1.72,-1.50,11,14,6.00,7.39,6.28,8.39,14,3.78,6.28,0,6.39,9.00,0,0,0.00,-5.00,11,-3.22,-9.00,-5.78,-1.22,11,-5.72,11,1.22,2.28,0,0.28,11,1.72,0.22,0.11,1.72,11,-0.39,0,3.72,-1.00,1.11,11,2.22,1.28,11,10.39,9.78,11,11,17.39,17.00,1.61,0.50,11,3.11,1.28,11,13.60,139,1.82,17.22,3,1,1,1,0.60,0,0,0,9.29,-3.22,14.77
 19:44:00  08/03/2021,0,-12.61,7.50,8.11,11,0.28,2.89,11,-0.11,11,-1.22,-60.00,0,-4.22,-0.28,11,5.50,0.11,-1.11,11,-10.50,0,0.00,0.00,0.39,11,14,6.00,7.72,6.28,8.39,14,7.28,7.50,0,8.61,9.50,0,0,-1.00,-9.72,11,-1.22,-5.89,-1.11,0.00,11,0.39,11,3.11,2.89,0,0.00,11,3.00,3.61,1.61,3.11,11,-0.11,0,4.28,0.22,2.00,11,2.61,1.78,11,10.78,10.50,11,11,17.39,17.28,2.11,2.00,11,3.50,3.00,11,13.60,139,0.81,30.06,30,1,1,3,0.60,30,0,0,7.99,-3.22,14.77
 19:46:00  08/03/2021,0,-16.61,8.11,9.11,0,2.39,4.00,0,1.39,11,1.89,-60.00,11,-4.22,4.11,11,7.11,1.89,0.39,11,-2.89,0,0.00,0.72,0.72,0,14,6.00,7.72,6.72,8.72,14,8.78,8.50,0,9.50,9.89,0,0,-1.00,-6.39,11,0.00,-4.39,1.28,1.39,11,2.72,0,4.39,3.72,0,1.28,0,6.50,1.89,1.89,4.39,0,1.72,0,5.00,3.39,3.28,11,2.61,1.78,11,10.78,7.39,0,11,17.72,17.28,2.61,2.50,11,3.89,3.89,11,13.60,139,1.10,28.11,49,1,1,3,0.60,50,0,0,7.78,-3.72,14.77
 19:48:00  08/03/2021,11,-1.78,7.50,3.78,0,-2.50,3.61,0,2.00,0,3.28,-60.00,11,-6.39,6.00,11,8.28,-0.11,1.11,11,-8.89,0,0.00,-1.28,-0.11,0,4,6.28,7.72,6.72,8.72,4,9.28,9.22,0,9.50,9.89,0,0,0.00,-4.50,0,0.39,-4.11,2.39,2.61,11,3.50,0,5.78,4.89,0,3.72,0,8.39,1.22,1.39,8.11,0,3.11,0,5.78,-8.61,4.22,0,1.22,1.78,0,10.28,-0.72,0,11,17.72,17.61,2.89,2.89,11,4.22,4.39,11,13.60,139,2.23,18.50,100,1,3,3,0.60,100,0,0,8.85,-3.72,14.77
 19:50:00  08/03/2021,11,0.50,5.22,-8.22,11,-11.89,1.00,11,0.22,0,-10.50,-60.00,11,-6.39,8.00,11,8.78,-0.11,-5.00,11,-8.50,11,-2.89,-3.50,-9.50,11,4,6.28,8.00,7.00,8.72,4,-2.78,5.72,0,2.39,9.11,0,0,-1.22,-14.11,11,-3.11,-8.78,3.50,3.39,11,-10.00,11,1.22,2.11,0,-11.78,11,1.78,-9.50,-10.11,2.50,0,-10.50,0,3.89,-11.39,2.11,11,-4.00,1.00,0,9.39,-5.28,0,11,17.72,17.61,3.22,3.22,11,4.50,4.72,11,13.60,139,1.89,20.50,100,3,3,3,0.60,100,30,0,15.32,-3.72,14.77
 19:52:00  08/03/2021,0,4.61,4.11,-8.22,11,-1.72,1.78,11,-1.00,11,-10.50,-60.00,0,-4.39,8.72,0,8.78,0.22,-0.11,11,-2.39,11,-1.72,-2.11,-2.89,11,4,6.28,8.00,7.00,8.72,4,3.61,6.28,0,6.39,9.11,0,11,-4.22,-22.00,11,-3.11,-9.50,4.00,4.00,11,-6.00,11,0.89,2.11,11,0.00,11,1.78,-0.72,-0.89,1.50,11,-5.22,0,3.89,-1.72,0.78,11,-6.61,-0.28,11,8.61,-3.72,11,11,17.72,17.61,3.22,3.22,11,4.50,4.72,11,13.60,139,1.95,14.56,10,2,1,1,0.60,0,0,0,9.80,-3.72,14.77
 19:54:00  08/03/2021,0,-13.89,4.39,0.00,11,0.61,3.39,11,0.00,11,-0.78,-60.00,11,-6.61,-5.11,11,4.22,1.72,1.00,11,-5.00,0,0.22,-0.28,0.11,11,0,-3.89,7.00,-6.72,8.11,0,6.89,7.39,0,8.78,9.61,0,11,-3.61,-12.39,11,-1.39,-6.11,2.39,3.72,0,0.22,11,2.89,3.11,11,1.00,11,2.78,3.00,0.72,2.78,11,-0.28,0,3.89,-0.22,1.72,11,-2.61,-0.72,11,8.61,3.00,11,11,17.72,17.61,3.61,3.61,11,4.78,5.11,11,13.60,139,0.98,28.28,33,1,1,3,0.60,32,0,0,8.76,-3.72,14.77
 19:56:00  08/03/2021,11,-16.72,5.11,4.11,11,1.50,3.89,0,1.39,11,1.78,-60.00,11,-6.22,-1.78,11,5.11,2.28,1.78,0,-2.28,0,-0.11,0.61,0.72,0,0,0.72,6.39,0.28,7.28,0,8.72,8.50,0,9.61,9.89,0,11,-2.28,-7.89,11,0.00,-4.50,3.61,4.11,0,2.50,0,4.22,4.00,11,3.89,0,5.78,1.39,2.50,4.22,0,2.50,0,4.78,3.22,2.89,11,-0.78,-0.39,11,8.89,5.39,11,11,18.00,17.89,3.61,3.61,11,4.78,5.11,11,13.60,139,0.90,29.11,43,1,1,3,0.60,38,0,0,8.16,-4.78,14.77
 19:58:00  08/03/2021,11,-0.78,5.78,6.00,11,-4.28,3.61,0,2.22,0,3.11,-60.00,11,-4.61,3.39,11,6.78,1.28,-7.00,0,-12.50,0,0.28,-0.28,-2.22,0,0,2.39,6.39,2.78,7.28,0,9.50,9.28,0,10.11,10.28,0,11,-1.11,-5.50,0,-0.28,-4.89,4.61,4.72,0,3.22,0,5.22,5.72,0,1.61,0,5.39,1.78,2.50,5.00,0,3.50,0,5.78,-11.39,4.22,0,0.00,-0.39,11,9.39,7.39,11,11,18.00,17.89,3.61,3.89,11,5.22,5.39,11,13.60,139,1.67,19.67,81,3,1,3,0.60,69,0,0,7.99,-4.78,14.77
 20:00:00  08/03/2021,11,4.28,6.61,7.00,11,-12.72,0.61,11,0.28,0,-9.28,-60.00,11,-6.28,5.78,11,8.00,-2.28,-10.72,11,-8.78,11,-2.28,-3.50,-10.39,11,0,-12.61,4.61,-11.22,5.72,0,-2.78,6.39,0,1.28,9.28,0,11,0.00,-3.72,0,-1.61,-7.39,-4.61,2.50,0,-8.39,0,2.89,3.39,0,-10.61,11,1.61,-8.72,-8.61,2.89,0,-8.28,0,5.11,-12.61,1.61,0,0.50,0.11,11,9.89,8.89,11,11,18.00,17.89,3.89,3.89,11,5.22,5.39,11,13.60,139,1.77,20.67,100,3,3,3,0.60,100,5,0,15.93,-4.78,14.77
 20:02:00  08/03/2021,0,-3.50,7.22,7.28,11,-4.78,1.11,11,-0.78,11,-13.39,-60.00,11,-6.28,7.22,11,8.50,-0.72,-2.61,11,-7.00,11,-2.72,-2.72,-5.78,11,0,-20.78,1.39,-17.61,2.72,0,1.11,6.11,0,5.00,9.00,0,0,-0.28,-8.11,11,-4.00,-11.28,-8.39,-0.39,11,-9.39,11,0.72,1.89,11,-6.11,11,1.61,-1.78,-4.78,1.61,11,-2.39,0,4.50,-2.89,0.39,11,1.00,0.39,11,10.39,9.89,11,0,16.11,17.89,3.89,3.89,0,5.50,5.72,11,13.60,139,0.66,33.78,75,3,3,3,0.60,82,0,0,11.87,-4.78,14.77
 20:04:00  08/03/2021,0,-15.89,7.72,7.78,11,-0.28,2.72,11,0.00,11,-1.28,-60.00,11,-4.39,8.50,11,8.89,1.11,0.22,11,-0.61,11,0.11,-0.39,-0.50,11,0,-3.39,0.61,-9.22,1.61,11,6.11,7.50,0,7.89,9.39,0,0,-0.28,-6.61,11,-1.39,-7.22,-1.72,0.72,11,-1.00,11,3.00,2.89,11,0.50,11,3.00,2.11,0.50,3.11,11,0.00,0,4.78,-0.50,1.28,11,1.39,0.39,11,10.78,10.61,11,0,4.22,17.22,2.89,-0.61,0,5.50,5.72,11,13.60,139,2.61,20.22,0,1,1,1,0.60,0,0,0,9.63,-4.78,14.77
 20:06:00  08/03/2021,11,-9.11,8.11,9.00,0,1.78,3.78,11,0.89,11,1.00,-60.00,11,-6.78,8.89,0,8.61,2.00,1.72,0,-8.11,0,-1.00,-0.11,0.00,0,0,-0.22,1.39,-0.89,2.28,11,8.50,8.50,0,9.39,9.72,0,0,0.00,-4.78,11,-0.28,-5.22,1.22,1.89,11,1.89,0,4.28,3.78,11,1.78,0,5.72,3.89,2.50,4.28,0,2.78,0,5.50,2.39,2.50,11,1.78,0.89,11,11.11,7.50,0,11,6.00,15.78,2.22,1.61,0,5.50,5.72,11,13.60,139,2.56,12.39,38,1,1,3,0.60,38,0,0,9.93,-4.78,14.77
 20:08:00  08/03/2021,11,-0.11,6.72,-1.39,0,-6.11,2.39,0,2.22,0,3.11,-60.00,0,-5.72,-3.39,11,5.11,-1.11,-9.00,11,-9.11,11,-2.89,-2.50,-6.89,11,0,-9.11,0.78,2.39,3.22,11,1.39,6.89,0,3.39,9.28,0,14,0.89,-3.11,14,0.50,-4.11,2.89,2.89,14,-4.61,11,1.78,3.78,0,-2.78,0,4.22,-5.39,-3.11,2.78,0,-4.11,0,5.22,0.00,4.72,0,2.11,1.22,11,10.39,-2.11,0,11,12.78,15.39,2.22,-1.89,0,5.78,6.00,11,13.60,139,2.13,12.67,100,3,3,3,0.60,100,17,0,15.71,-4.78,14.77
 20:10:00  08/03/2021,0,5.61,4.39,-10.39,11,-7.50,1.00,11,0.00,11,-13.22,-60.00,11,-4.50,-3.39,11,5.89,-1.11,-4.00,11,-1.72,11,-0.72,-2.78,-6.22,11,11,-20.89,-1.11,3.39,3.89,11,2.39,6.28,0,5.61,9.28,0,14,2.39,-1.28,14,1.11,-3.39,3.72,3.72,14,-8.28,11,0.72,2.39,0,-2.39,11,1.50,-4.89,-3.11,1.50,11,-5.22,0,4.22,-3.28,2.61,0,2.11,1.22,11,9.39,-6.00,0,11,15.00,15.39,1.22,-0.28,11,5.78,6.00,11,13.60,139,0.28,30.22,0,2,2,1,0.60,0,0,0,10.84,-4.78,14.77
 20:12:00  08/03/2021,0,-10.61,4.39,-3.61,11,-0.61,2.28,11,0.00,11,-2.61,-60.00,11,-7.28,2.78,11,7.28,0.72,0.22,11,-5.72,0,0.00,-0.61,-0.61,11,11,-1.28,-0.22,-1.78,4.50,0,6.89,7.72,0,8.61,9.28,0,14,4.22,-0.50,14,1.61,-2.78,4.39,4.39,14,-0.72,11,3.00,3.22,0,0.72,11,2.72,0.78,0.61,2.89,11,0.00,0,4.61,-0.50,2.61,0,2.61,1.72,11,8.28,-1.78,11,11,16.00,15.78,1.78,1.50,11,5.78,6.00,11,13.60,139,1.71,18.94,38,1,1,3,0.60,38,0,0,8.98,-4.78,14.77
 20:14:00  08/03/2021,0,-16.78,4.78,2.39,11,1.22,3.72,11,1.11,11,0.22,-60.00,0,-3.72,5.78,11,8.11,2.22,1.28,0,-6.22,0,-0.50,0.61,0.39,0,11,0.00,1.28,0.61,4.50,0,8.78,8.61,0,9.72,9.89,0,14,5.61,-0.50,14,2.11,-2.39,4.89,4.89,14,1.89,0,4.28,4.00,0,2.72,0,4.39,4.11,2.61,4.22,0,2.78,0,5.28,2.89,3.28,0,2.61,2.00,11,8.28,2.78,11,11,16.39,16.22,2.22,2.11,11,5.78,6.00,0,13.60,139,1.16,25.72,59,1,3,3,0.60,58,0,0,8.81,-4.78,14.77
 20:16:00  08/03/2021,11,-4.61,5.39,5.28,11,-4.61,2.89,0,2.11,0,2.89,-60.00,11,-6.00,7.78,11,8.61,-1.00,-10.11,11,-9.11,0,-1.61,-2.11,-7.00,11,0,-9.89,0.28,-7.61,3.61,0,1.00,7.11,0,5.22,9.50,0,14,6.78,1.89,14,2.61,-2.00,5.50,5.39,14,-6.61,11,1.28,3.50,0,-6.28,0,3.78,-7.22,-5.72,2.50,0,-7.00,0,4.61,-11.28,2.11,0,0.61,2.00,0,8.78,5.28,11,11,16.89,16.50,2.50,2.50,11,4.61,2.50,0,13.60,139,2.09,17.22,100,3,3,3,0.60,100,0,0,14.21,-4.28,14.77
 20:18:00  08/03/2021,11,1.00,6.22,6.50,11,-10.28,0.50,11,0.22,0,-17.22,-60.00,11,-6.61,8.78,11,8.89,-1.72,-4.89,11,-6.28,11,-3.00,-3.22,-7.61,11,11,-16.39,-1.28,-17.22,1.39,11,3.00,6.39,0,6.89,9.50,0,14,7.89,4.39,14,3.00,-2.00,5.78,5.78,14,-7.28,11,0.89,1.89,11,-2.00,11,1.50,-2.78,-2.50,0.89,11,-4.39,0,3.61,-1.72,0.89,11,-4.89,0.61,0,9.22,7.50,11,11,16.89,16.78,2.78,2.78,11,3.00,0.00,11,13.60,139,0.66,26.89,0,2,3,1,0.60,0,41,0,13.17,-4.28,14.77
 20:20:00  08/03/2021,0,3.22,6.89,7.22,11,-0.89,1.78,11,-0.22,11,-3.50,-60.00,0,-3.78,8.11,0,8.50,0.39,0.11,11,-0.61,11,0.00,-0.89,-0.89,11,11,-0.89,-0.11,-4.11,1.39,11,6.89,7.61,0,8.78,9.78,0,14,9.00,8.89,14,3.39,-1.39,6.22,6.22,14,-0.50,11,3.00,3.00,11,0.72,11,2.78,1.61,0.50,2.50,11,-4.39,0,3.89,-0.50,1.61,11,-4.39,-0.50,11,9.72,9.00,11,11,17.28,16.78,3.11,3.11,11,3.00,2.28,11,13.60,139,1.07,26.56,33,1,1,3,0.60,32,0,0,9.58,-4.28,14.77
